Date,Part_Number,Quantity,Unit_Price,Order_Amount,State
2023-10-16,E4711Y,441,334.0,147294.0,Washington
2024-12-15,C9115X,783,76.34,59774.22,Washington
2024-07-21,B6001Z,833,495.26,412551.58,Montana
2024-05-18,C4311X,539,420.77,226795.03,New Jersey
2023-06-07,A1335Y,813,67.36,54763.68,Iowa
2023-01-22,D9520Z,618,404.04,249696.72,Utah
2023-01-20,C4311X,890,49.39,43957.1,North Dakota
2024-01-01,B4760Z,363,353.12,128182.56,Oklahoma
2024-05-25,A1335Y,203,472.73,95964.19,West Virginia
2023-09-28,D8490X,534,150.84,80548.56,Maryland
2023-08-19,D4872Y,370,121.45,44936.5,Hawaii
2024-08-02,A7649Y,215,193.15,41527.25,West Virginia
2024-05-15,A7903Z,391,494.86,193490.26,West Virginia
2023-07-04,E6371Z,776,116.6,90481.6,Iowa
2023-11-22,B7052Z,299,180.4,53939.6,Alabama
2023-06-25,B1605Z,787,200.09,157470.83,Utah
2024-11-18,E5635Z,32,34.62,1107.84,West Virginia
2024-05-04,C7787Z,247,494.11,122045.17,Massachusetts
2023-02-13,D1757X,468,188.76,88339.68,Alabama
2024-02-29,E6371Z,735,471.21,346339.35,Tennessee
2023-02-11,D4455Z,317,439.26,139245.42,New York
2023-06-19,C2671Z,880,307.3,270424.0,Iowa
2024-08-15,E7964Y,244,341.67,83367.48,Rhode Island
2024-06-13,D4267Y,565,53.4,30171.0,Mississippi
2024-03-25,E2559X,952,65.82,62660.64,Alabama
2024-03-15,E2559X,85,241.63,20538.55,Georgia
2023-12-03,A8719Y,363,241.94,87824.22,Hawaii
2023-10-30,D1774X,280,188.22,52701.6,Oklahoma
2024-10-19,A6862Z,828,240.61,199225.08,Alaska
2024-01-10,D9520Z,125,276.71,34588.75,West Virginia
2024-10-18,E7128Y,905,322.39,291762.95,Arkansas
2024-06-12,E6371Z,65,130.71,8496.15,Minnesota
2024-02-04,D9202Z,821,490.87,403004.27,Idaho
2024-11-27,E1490Y,77,246.36,18969.72,Virginia
2023-05-30,A8262Y,348,134.09,46663.32,Wisconsin
2023-07-07,D4356Z,304,342.85,104226.4,Ohio
2023-05-15,A2431Y,838,459.15,384767.7,Washington
2024-11-18,D6146Y,95,178.44,16951.8,Vermont
2023-10-25,B2539Y,545,311.95,170012.75,North Dakota
2023-08-10,E5635Z,120,459.89,55186.8,Arkansas
2024-08-06,A6151X,657,263.81,173323.17,Missouri
2023-09-19,D8490X,496,443.43,219941.28,Iowa
2024-03-30,C1391X,504,311.26,156875.04,Alabama
2023-11-24,B1505Z,328,221.87,72773.36,Kentucky
2023-06-24,E8474Y,314,116.21,36489.94,Washington
2024-12-24,D8211X,821,91.15,74834.15,Maryland
2024-01-17,C4311X,645,468.93,302459.85,Arkansas
2024-08-05,A8719Y,659,194.84,128399.56,Nebraska
2023-04-22,E1490Y,734,369.28,271051.52,Alaska
2023-12-06,A6862Z,244,375.96,91734.24,Delaware
2024-01-28,D7713Z,299,44.48,13299.52,Maine
2023-02-18,C1619Y,563,408.67,230081.21,Kentucky
2024-01-29,D4747X,664,383.42,254590.88,Nebraska
2024-01-17,E1601Z,309,161.48,49897.32,Delaware
2024-07-06,A3019X,707,220.96,156218.72,California
2024-01-09,B4760Z,25,13.25,331.25,New Jersey
2024-09-19,A3019X,894,234.74,209857.56,Ohio
2023-12-06,E8291X,154,78.51,12090.54,Illinois
2024-01-23,B3057Y,655,356.15,233278.25,South Dakota
2024-03-13,A2501Z,54,183.26,9896.04,Illinois
2024-02-26,C6923Y,132,296.12,39087.84,Rhode Island
2024-03-25,D9236Y,976,437.01,426521.76,Vermont
2024-04-20,A3993Z,882,497.51,438803.82,Michigan
2024-04-03,A2740X,909,386.43,351264.87,Alaska
2023-02-27,D6146Y,88,331.75,29194.0,Montana
2023-09-29,A7547Y,46,250.01,11500.46,Nevada
2024-01-28,A8719Y,429,352.08,151042.32,Colorado
2024-12-18,E2559X,856,252.89,216473.84,Nevada
2023-06-11,D7701X,253,29.18,7382.54,New Hampshire
2024-01-14,B7052Z,16,96.18,1538.88,Rhode Island
2023-03-13,E6371Z,842,410.58,345708.36,Pennsylvania
2024-08-03,C2671Z,139,179.29,24921.31,Virginia
2023-10-15,A5783Y,411,302.58,124360.38,New Jersey
2023-07-23,E7964Y,687,428.81,294592.47,Arkansas
2024-02-08,D4455Z,380,21.85,8303.0,North Carolina
2024-02-01,E7964Y,42,271.86,11418.12,Vermont
2023-12-03,D6404X,742,179.63,133285.46,Minnesota
2023-07-18,A8500Z,66,196.28,12954.48,Iowa
2023-07-02,E5635Z,162,95.11,15407.82,New Hampshire
2023-07-31,A3176Y,483,182.72,88253.76,Georgia
2023-01-23,D6304Y,684,17.2,11764.8,New Hampshire
2023-12-30,D1774X,517,193.76,100173.92,Virginia
2024-05-13,E9867Z,154,20.55,3164.7,Idaho
2023-03-26,A7649Y,304,459.74,139760.96,Michigan
2023-07-30,A3993Z,144,95.98,13821.12,Hawaii
2024-04-16,A5665Z,306,284.9,87179.4,Wisconsin
2024-04-23,A9602Y,968,466.85,451910.8,Oregon
2024-05-13,D7774Z,491,59.08,29008.28,California
2024-10-25,A5783Y,228,427.65,97504.2,West Virginia
2024-02-26,E4711Y,789,482.07,380353.23,West Virginia
2023-07-30,B3057Y,197,27.89,5494.33,New Jersey
2023-04-11,C9648X,720,467.91,336895.2,Michigan
2023-05-15,A7073Y,319,302.53,96507.07,Florida
2023-09-07,C1391X,171,39.22,6706.62,Massachusetts
2023-05-04,C9115X,898,343.84,308768.32,Arkansas
2023-03-28,A6514X,790,473.5,374065.0,Indiana
2024-05-25,A2431Y,240,288.89,69333.6,Kansas
2024-12-04,B1605Z,557,301.04,167679.28,Utah
2024-05-25,A7073Y,947,98.53,93307.91,Washington
2024-10-24,B7052Z,855,159.85,136671.75,Rhode Island
2023-08-23,D9202Z,381,311.03,118502.43,Alaska
2024-04-17,C3068X,931,330.95,308114.45,California
2024-04-30,D2429Z,206,362.1,74592.6,Utah
2023-10-30,E8474Y,371,106.34,39452.14,New Hampshire
2024-09-24,D9236Y,961,196.31,188653.91,Utah
2023-02-21,D8211X,429,160.02,68648.58,Ohio
2024-05-13,D6404X,863,217.01,187279.63,Tennessee
2023-11-23,A3993Z,531,196.47,104325.57,Wisconsin
2024-01-31,A6514X,229,265.2,60730.8,Washington
2023-02-03,E5635Z,35,422.54,14788.9,Michigan
2023-12-26,C1619Y,262,445.08,116610.96,Michigan
2023-09-09,C3141X,812,242.89,197226.68,South Carolina
2023-10-27,D6404X,184,343.75,63250.0,Minnesota
2024-02-28,B2539Y,796,444.15,353543.4,Oregon
2024-10-15,A6514X,371,46.02,17073.42,North Carolina
2023-05-05,D6146Y,622,369.41,229773.02,Michigan
2024-09-04,B8096X,738,86.15,63578.7,Vermont
2024-05-06,E3368Y,633,66.66,42195.78,Idaho
2024-09-02,D6304Y,237,86.63,20531.31,South Dakota
2024-08-14,C7787Z,14,200.39,2805.46,Missouri
2023-07-18,A3993Z,665,217.89,144896.85,Kansas
2024-08-07,B1605Z,284,373.09,105957.56,Virginia
2024-11-29,C1391X,363,435.71,158162.73,Pennsylvania
2023-10-20,A8262Y,332,251.36,83451.52,Arizona
2024-02-09,C4514Z,29,217.97,6321.13,Iowa
2024-12-13,B4553Y,716,483.01,345835.16,Indiana
2024-01-24,A4168Z,817,477.62,390215.54,West Virginia
2023-05-13,C2671Z,831,181.04,150444.24,Texas
2023-03-26,E9867Z,359,261.77,93975.43,Arkansas
2024-11-21,E4711Y,567,427.48,242381.16,Pennsylvania
2024-08-19,D2275Z,17,103.61,1761.37,Rhode Island
2023-06-18,D1757X,267,402.13,107368.71,Alabama
2023-04-23,E5635Z,748,68.72,51402.56,Virginia
2024-03-31,D7678Y,197,103.82,20452.54,Kansas
2024-08-06,A2690Z,933,481.45,449192.85,Florida
2023-10-16,D7678Y,314,88.01,27635.14,Kentucky
2024-04-01,C4311X,689,178.51,122993.39,Rhode Island
2024-01-25,C3141X,348,396.77,138075.96,Arizona
2023-12-29,E8291X,91,60.81,5533.71,Maine
2023-11-04,C1391X,1,237.42,237.42,North Carolina
2024-07-31,B2145Z,849,485.34,412053.66,Pennsylvania
2024-03-07,D9236Y,340,137.64,46797.6,Kentucky
2024-09-15,D9520Z,510,181.33,92478.3,New Hampshire
2024-03-20,D6146Y,63,445.78,28084.14,Pennsylvania
2023-04-05,D6404X,974,483.8,471221.2,Delaware
2023-08-01,C5387X,927,236.73,219448.71,Wyoming
2023-03-01,B1987Z,281,133.5,37513.5,Arkansas
2024-03-13,B3057Y,752,430.39,323653.28,Ohio
2024-12-25,D7678Y,970,401.4,389358.0,New Hampshire
2024-04-10,C7787Z,120,96.75,11610.0,New Jersey
2023-11-08,C1391X,961,62.38,59947.18,Tennessee
2023-11-16,C3068X,913,471.29,430287.77,Georgia
2024-03-22,A8719Y,567,441.28,250205.76,Delaware
2023-09-19,B3057Y,814,158.2,128774.8,Oklahoma
2024-10-28,C9648X,411,445.02,182903.22,Tennessee
2023-10-09,B1505Z,692,411.42,284702.64,New Hampshire
2023-10-08,A8262Y,997,183.42,182869.74,Florida
2023-05-22,D1757X,895,429.79,384662.05,Ohio
2023-08-08,C2671Z,606,471.97,286013.82,New York
2023-08-12,B6001Z,787,456.19,359021.53,Louisiana
2024-07-03,E1490Y,965,216.78,209192.7,Pennsylvania
2024-08-23,C7787Z,484,86.01,41628.84,South Carolina
2024-10-23,C7996X,663,419.28,277982.64,Delaware
2023-06-21,A5665Z,924,491.13,453804.12,Florida
2024-07-12,C9555X,521,248.74,129593.54,Massachusetts
2023-01-30,A9602Y,658,276.07,181654.06,Oregon
2023-11-03,D2093Y,276,256.18,70705.68,California
2024-04-22,B1257Y,705,130.06,91692.3,Tennessee
2023-01-14,C7996X,286,24.33,6958.38,Missouri
2023-04-02,A3993Z,203,313.08,63555.24,Minnesota
2024-04-20,D6304Y,336,41.83,14054.88,Tennessee
2023-07-22,D9236Y,890,237.61,211472.9,Iowa
2023-05-12,C1391X,651,346.64,225662.64,New Mexico
2023-12-09,A1335Y,702,82.27,57753.54,Nebraska
2023-08-09,A6862Z,498,21.75,10831.5,Pennsylvania
2024-09-08,B1605Z,573,488.03,279641.19,Alabama
2023-01-03,D1757X,622,481.14,299269.08,Montana
2024-12-23,E1490Y,816,95.42,77862.72,Louisiana
2024-06-22,A2431Y,257,173.27,44530.39,Connecticut
2024-12-06,D4455Z,948,355.69,337194.12,Minnesota
2023-01-09,D4356Z,890,221.45,197090.5,Maine
2023-04-22,C9115X,682,19.33,13183.06,New Mexico
2024-12-18,B1987Z,139,212.8,29579.2,Washington
2023-01-08,C3141X,366,48.79,17857.14,Maryland
2023-08-01,A9602Y,220,210.8,46376.0,Michigan
2024-06-17,E8291X,864,455.9,393897.6,Wyoming
2023-02-18,A5783Y,375,448.0,168000.0,Georgia
2024-09-23,E8291X,852,103.68,88335.36,Washington
2023-10-22,E5635Z,214,289.43,61938.02,North Dakota
2024-11-06,A2431Y,301,285.64,85977.64,Virginia
2024-02-07,C7787Z,598,150.07,89741.86,Montana
2023-05-10,E1601Z,806,363.91,293311.46,Texas
2024-07-16,D9520Z,519,94.57,49081.83,Idaho
2023-01-11,E6371Z,7,362.09,2534.63,New Jersey
2024-07-08,D1774X,260,290.9,75634.0,Mississippi
2024-08-01,D6304Y,619,480.98,297726.62,Kansas
2024-04-28,A6151X,872,36.51,31836.72,Virginia
2023-10-21,E8291X,525,104.8,55020.0,Oklahoma
2023-11-08,D9202Z,283,42.62,12061.46,Ohio
2023-06-25,E3368Y,735,186.24,136886.4,Tennessee
2024-08-26,E5635Z,696,89.05,61978.8,South Carolina
2024-06-09,D1757X,97,13.89,1347.33,Pennsylvania
2024-07-13,D2275Z,505,420.53,212367.65,Illinois
2024-10-17,E3368Y,198,308.03,60989.94,Indiana
2024-05-26,C8665X,663,236.28,156653.64,Nevada
2023-06-08,E4711Y,999,417.51,417092.49,West Virginia
2023-04-19,A3993Z,656,392.94,257768.64,Massachusetts
2024-06-22,D7774Z,538,281.79,151603.02,Alaska
2023-09-09,E3368Y,15,485.29,7279.35,South Carolina
2023-12-25,D4872Y,708,19.04,13480.32,South Dakota
2024-01-10,C3068X,430,360.86,155169.8,Massachusetts
2023-11-20,A1335Y,569,125.44,71375.36,Connecticut
2023-10-21,D7774Z,967,362.25,350295.75,Iowa
2024-06-02,A8547Z,69,436.75,30135.75,West Virginia
2023-08-21,B2539Y,783,447.26,350204.58,Indiana
2024-07-21,A6862Z,113,402.08,45435.04,Alabama
2023-03-29,B8096X,421,447.39,188351.19,Tennessee
2024-07-30,B4760Z,552,402.23,222030.96,Louisiana
2024-09-07,E8719Z,985,118.4,116624.0,Pennsylvania
2024-09-05,D8938X,513,208.19,106801.47,New York
2023-05-25,A2431Y,191,484.77,92591.07,Florida
2023-06-11,B4760Z,450,244.77,110146.5,West Virginia
2024-04-24,E2559X,729,267.42,194949.18,South Carolina
2023-07-05,E8474Y,127,243.18,30883.86,Colorado
2023-05-04,D7713Z,268,429.73,115167.64,Vermont
2023-10-28,C7787Z,717,361.29,259044.93,Maryland
2024-11-25,D7701X,881,362.75,319582.75,Virginia
2023-06-08,B2539Y,728,78.1,56856.8,Iowa
2023-04-29,B4553Y,561,268.2,150460.2,New Mexico
2023-08-01,B4760Z,251,283.26,71098.26,Arizona
2024-06-15,C8665X,990,20.12,19918.8,Ohio
2023-05-02,A3019X,724,103.13,74666.12,Nevada
2023-06-21,A6514X,870,26.61,23150.7,Arkansas
2023-04-17,E1490Y,353,220.78,77935.34,Nebraska
2023-10-02,A6615Z,536,386.41,207115.76,Colorado
2023-08-06,B2145Z,904,498.29,450454.16,Kentucky
2024-06-10,B4760Z,425,498.95,212053.75,New York
2023-12-12,D8490X,938,251.82,236207.16,Nebraska
2024-12-12,D6146Y,859,433.25,372161.75,Georgia
2023-11-09,C5387X,766,28.94,22168.04,Massachusetts
2024-02-05,C1619Y,208,397.76,82734.08,Mississippi
2023-01-15,C7996X,792,166.28,131693.76,Arizona
2024-05-16,A5783Y,761,297.9,226701.9,Oklahoma
2024-04-16,E2559X,453,327.76,148475.28,Maine
2024-01-02,D7774Z,474,256.43,121547.82,Connecticut
2023-05-08,A7903Z,797,19.68,15684.96,California
2024-12-18,D8490X,749,398.21,298259.29,Pennsylvania
2024-05-02,D4872Y,235,405.85,95374.75,Nebraska
2024-11-08,A2740X,971,271.59,263713.89,Kentucky
2023-10-23,B1877Z,667,377.92,252072.64,Mississippi
2023-01-30,D4356Z,337,471.85,159013.45,South Dakota
2024-06-27,B1257Y,43,38.93,1673.99,Maine
2024-07-31,D2429Z,419,298.84,125213.96,Mississippi
2024-11-03,D8211X,264,292.15,77127.6,Hawaii
2024-07-11,D8490X,228,355.25,80997.0,Georgia
2024-02-22,C6923Y,713,426.39,304016.07,Kansas
2023-06-08,B6001Z,457,15.86,7248.02,Louisiana
2024-11-21,A3993Z,364,292.07,106313.48,West Virginia
2023-10-24,D1105Z,979,140.52,137569.08,Maine
2023-11-27,E6371Z,444,272.7,121078.8,Ohio
2023-06-21,C7996X,728,293.16,213420.48,Georgia
2023-08-02,A8500Z,273,457.54,124908.42,Maine
2023-02-18,A7903Z,848,18.16,15399.68,Hawaii
2024-08-02,A6514X,22,347.74,7650.28,Missouri
2024-09-13,E5635Z,103,151.44,15598.32,North Carolina
2023-01-03,C9115X,110,346.39,38102.9,Utah
2024-02-21,D7701X,411,478.63,196716.93,Wisconsin
2023-12-20,B6001Z,235,382.29,89838.15,Idaho
2024-12-06,A4168Z,516,400.0,206400.0,Idaho
2024-10-02,B1987Z,236,157.8,37240.8,Connecticut
2024-07-16,B3057Y,557,235.87,131379.59,New Jersey
2024-02-29,C8665X,530,223.18,118285.4,Connecticut
2024-10-20,A7903Z,766,139.04,106504.64,North Carolina
2024-02-04,A4168Z,337,390.62,131638.94,Minnesota
2024-07-02,E8719Z,296,344.55,101986.8,Colorado
2023-10-22,D7713Z,760,95.15,72314.0,Louisiana
2023-01-07,B1257Y,418,413.03,172646.54,Hawaii
2024-04-17,C9277Y,746,183.36,136786.56,Wisconsin
2024-11-26,D8424Y,170,388.19,65992.3,Ohio
2023-01-16,A6151X,679,151.39,102793.81,Washington
2023-12-13,C3068X,288,195.14,56200.32,Delaware
2024-10-15,D8616Z,1000,280.24,280240.0,Nebraska
2024-04-20,A8547Z,963,84.81,81672.03,Wyoming
2023-01-30,A1335Y,423,177.82,75217.86,Minnesota
2024-08-20,C5387X,710,424.08,301096.8,Delaware
2024-01-17,E7128Y,944,94.33,89047.52,Tennessee
2023-04-28,A8262Y,731,96.81,70768.11,Maine
2023-07-30,B3057Y,122,489.92,59770.24,Michigan
2024-10-17,D8938X,949,36.79,34913.71,Illinois
2024-02-02,D2477Z,344,309.61,106505.84,Nebraska
2024-03-09,D6404X,959,430.32,412676.88,Kansas
2023-06-08,A5665Z,925,313.87,290329.75,Colorado
2023-01-16,A8719Y,290,59.57,17275.3,Nevada
2024-02-23,A3176Y,21,148.49,3118.29,Ohio
2024-02-01,D6304Y,538,446.38,240152.44,Wisconsin
2024-06-13,C2671Z,367,130.66,47952.22,North Dakota
2023-01-14,A6151X,236,241.21,56925.56,Illinois
2023-11-22,C4514Z,501,56.87,28491.87,Wyoming
2023-12-23,A7547Y,141,349.7,49307.7,North Carolina
2023-11-27,A8719Y,959,325.82,312461.38,Oklahoma
2024-03-18,E1601Z,820,130.28,106829.6,Arkansas
2023-08-15,B6001Z,494,275.71,136200.74,Mississippi
2024-12-02,A3176Y,206,396.03,81582.18,Vermont
2023-04-17,A6615Z,167,373.76,62417.92,Florida
2023-02-04,D7678Y,556,162.89,90566.84,Maine
2023-04-14,D7774Z,620,92.21,57170.2,Oregon
2023-03-26,C7787Z,760,158.0,120080.0,Iowa
2024-04-18,E6371Z,596,93.55,55755.8,Pennsylvania
2023-07-13,D6404X,253,73.25,18532.25,Indiana
2024-01-15,D8211X,329,492.06,161887.74,Arizona
2024-03-11,A2501Z,745,337.29,251281.05,Wyoming
2024-09-26,D2477Z,239,140.65,33615.35,Alaska
2023-01-04,D4167X,161,122.44,19712.84,Arkansas
2023-09-22,C1391X,329,391.59,128833.11,Indiana
2023-06-26,A2690Z,698,98.43,68704.14,Virginia
2024-01-09,C8665X,615,275.46,169407.9,Ohio
2023-08-29,A5665Z,528,220.87,116619.36,Kentucky
2023-11-30,E4711Y,705,114.61,80800.05,North Dakota
2023-01-07,A6615Z,115,278.46,32022.9,Michigan
2024-11-02,E8291X,265,106.4,28196.0,Oklahoma
2023-10-16,D2093Y,185,462.15,85497.75,Iowa
2024-04-02,A5783Y,896,360.57,323070.72,Ohio
2023-07-22,A7903Z,925,406.06,375605.5,Washington
2023-11-09,D8211X,665,39.46,26240.9,Alaska
2023-10-22,D2429Z,958,90.01,86229.58,Kansas
2023-09-01,C7996X,321,421.13,135182.73,Arkansas
2023-11-06,E2559X,93,173.68,16152.24,Maryland
2024-10-07,B1987Z,689,454.0,312806.0,Rhode Island
2024-08-28,D2477Z,345,490.79,169322.55,Pennsylvania
2024-09-05,D8490X,490,498.28,244157.2,Indiana
2023-10-09,C4311X,658,18.79,12363.82,Alaska
2023-01-02,D9202Z,272,183.28,49852.16,Wyoming
2023-08-02,C7787Z,539,284.2,153183.8,Nevada
2023-03-20,B1987Z,297,427.74,127038.78,New York
2023-03-16,B4760Z,489,190.34,93076.26,Arkansas
2024-10-05,D6146Y,867,124.6,108028.2,Alaska
2023-01-30,A8500Z,133,480.01,63841.33,Georgia
2023-11-07,A3993Z,780,364.18,284060.4,Louisiana
2024-05-25,D8424Y,536,159.87,85690.32,New Mexico
2024-08-25,E3368Y,145,405.94,58861.3,Pennsylvania
2023-07-06,C9115X,352,440.7,155126.4,Montana
2024-06-11,D6304Y,304,226.92,68983.68,Wisconsin
2023-08-18,C5664Y,379,372.28,141094.12,Maryland
2023-11-25,B1877Z,518,272.13,140963.34,Montana
2024-03-07,A3019X,900,135.49,121941.0,Idaho
2024-07-23,B1605Z,42,26.45,1110.9,Nevada
2024-03-16,D2429Z,640,357.94,229081.6,Michigan
2023-06-12,A7073Y,969,33.44,32403.36,Hawaii
2023-08-18,E4711Y,877,358.34,314264.18,Indiana
2023-02-19,E4711Y,289,486.94,140725.66,Vermont
2023-02-24,D7678Y,267,177.75,47459.25,Oregon
2024-10-11,D7774Z,549,112.56,61795.44,Massachusetts
2023-05-25,C4514Z,494,177.29,87581.26,Vermont
2023-06-02,A5665Z,903,413.26,373173.78,Minnesota
2024-03-08,D2429Z,487,156.88,76400.56,Arizona
2023-05-05,E8291X,783,297.39,232856.37,Utah
2023-11-21,A8719Y,161,270.59,43564.99,Hawaii
2024-09-22,C1391X,270,132.15,35680.5,Indiana
2023-09-23,A6862Z,383,48.73,18663.59,Missouri
2024-03-15,C5387X,606,200.21,121327.26,Texas
